id,name,count
856,AULICH,26
857,AULICHOVÁ,22
858,AULÍK,39
859,AULÍKOVÁ,39
860,AULOVÁ,16
861,AUNICKÁ,12
862,AUR,20
863,AUROVÁ,25
864,AUŘEDNÍK,47
865,AUŘEDNÍKOVÁ,36
866,AUSBERGER,14
867,AUSBERGEROVÁ,20
868,AUSFICÍR,30
869,AUSFICÍROVÁ,45
870,AUSKÁ,14
871,AUSKÝ,16
872,AUSPERGEROVÁ,13
873,AUST,147
874,AUSTIN,10
875,AUSTOVÁ,146
876,AUŠPRUNK,14
877,AUŠPRUNKOVÁ,13
878,AUTERSKÁ,71
879,AUTERSKÝ,58
880,AUTRATA,72
881,AUTRATOVÁ,62
882,AUXT,14
883,AUXTOVÁ,17
884,AUZKÁ,22
885,AUZKÝ,19
886,AVGUSTINI,13
887,AVRAMČEV,14
888,AVRAMIDIS,14
889,AVRAMOV,15
890,AVRAMOVA,12
891,AVRAMOVÁ,11
892,AVRAT,31
893,AVRATOVÁ,26
894,AXAMIT,29
895,AXAMITOVÁ,30
896,AXAMSKÝ,13
897,AXLER,20
898,AXLEROVÁ,15
899,AXMAN,119
900,AXMANN,197
901,AXMANNOVÁ,211
902,AXMANOVÁ,137
903,AYDIN,15
904,AZAB,10
905,AZEMI,12
906,AZIZI,14
907,AŽALTOVIČ,13
908,AŽALTOVIČOVÁ,13
909,ÁBEL,20
910,ÁBELOVÁ,19
911,ÁBRAHÁM,10
912,ÁCS,19
913,ÁCSOVÁ,22
914,ÁČ,25
915,ÁČOVÁ,21
916,ÁDÁM,11
917,ÁDÁMOVÁ,15
918,ÁDI,20
919,ÁDIOVÁ,27
920,ÁGH,14
921,ÁGHOVÁ,10
922,ÁLLÓ,17
923,ÁRONOVÁ,11
924,ÁRVAI,10
925,ÁRVAY,16
926,BAAR,173
927,BAAROVÁ,176
928,BABARÍK,12
929,BABÁČEK,187
930,BABÁČKOVÁ,184
931,BABÁK,361
932,BABÁKOVÁ,342
933,BABÁNEK,28
934,BABÁNKOVÁ,34
935,BABCOVÁ,35
936,BABCZYNSKÁ,24
937,BABCZYNSKI,24
938,BABCZYŃSKÁ,13
939,BABČAN,32
940,BABČANÍK,10
941,BABČANÍKOVÁ,11
942,BABČANOVÁ,27
943,BABČÁK,30
944,BABČÁKOVÁ,32
945,BABČICKÁ,23
946,BABČICKÝ,19
947,BABEC,53
948,BABEČKOVÁ,11
949,BABEJ,46
950,BABEJOVÁ,47
951,BABELOVÁ,15
952,BABIAK,23
953,BABIAKOVÁ,23
954,BABIAR,17
955,BABIAROVÁ,10
956,BABIÁK,20
957,BABIÁKOVÁ,17
958,BABIÁNEK,27
959,BABIÁNKOVÁ,36
960,BABIC,105
961,BABICA,217
962,BABICKÁ,375
963,BABICKÝ,362
964,BABICOVÁ,322
965,BABICZ,16
966,BABICZOVÁ,14
967,BABIĆOVÁ,12
968,BABIČ,137
969,BABIČKA,109
970,BABIČKOVÁ,108
971,BABIČOVÁ,133
972,BABIJ,16
973,BABIJOVÁ,14
974,BABILON,60
975,BABILONOVÁ,66
976,BABIN,10
977,BABINCOVÁ,269
978,BABINČÁK,11
979,BABINČÁKOVÁ,11
980,BABINEC,242
981,BABINOVÁ,12
982,BABINSKÁ,90
983,BABINSKI,10
984,BABINSKÝ,88
985,BABIRÁD,20
986,BABIRÁDOVÁ,23
987,BABISZ,30
988,BABISZOVÁ,25
989,BABIŠ,143
990,BABIŠOVÁ,148
991,BABIŠTA,12
992,BABIŠTOVÁ,14
993,BABIUCH,14
994,BABIUCHOVÁ,14
995,BABÍČEK,39
996,BABÍČKOVÁ,45
997,BABÍK,70
998,BABÍKOVÁ,80
999,BABÍNEK,19
1000,BABÍNKOVÁ,15
1001,BABJAK,31
1002,BABJAKOVÁ,36
1003,BABJÁK,39
1004,BABJÁKOVÁ,42
1005,BABKA,644
1006,BABKOVÁ,643
1007,BABNIČOVÁ,10
1008,BABOCKÁ,18
1009,BABOR,237
1010,BABORÁK,145
1011,BABORÁKOVÁ,155
1012,BABOROVÁ,251
1013,BABOROVSKÁ,62
1014,BABOROVSKÝ,46
1015,BABORSKÁ,42
1016,BABORSKÝ,32
1017,BABOUČEK,56
1018,BABOUČKOVÁ,50
1019,BABOVÁK,44
1020,BABOVÁKOVÁ,34
1021,BABRŇÁK,10
1022,BABUKA,15
1023,BABUKOVÁ,20
1024,BABULA,25
1025,BABULIAK,14
1026,BABULIAKOVÁ,11
1027,BABULÍK,52
1028,BABULÍKOVÁ,43
1029,BABULJAKOVÁ,10
1030,BABULOVÁ,21
1031,BABUNĚK,25
1032,BABUŇKOVÁ,30
1033,BABUŠÍK,63
1034,BABUŠÍKOVÁ,56
1035,BABUŠKA,37
1036,BABUŠKOVÁ,47
1037,BABUŠOVÁ,14
1038,BABŮREK,114
1039,BABŮRKOVÁ,122
1040,BABYKA,19
1041,BABYKOVÁ,22
1042,BABYRÁD,29
1043,BABYRÁDOVÁ,22
1044,BACIL,17
1045,BACILOVÁ,13
1046,BACÍK,102
1047,BACÍKOVÁ,103
1048,BACÍLEK,77
1049,BACÍLKOVÁ,91
1050,BACK,29
